model,log_loss,brier_score,rps,accuracy,n_seasons,n_matches
Baseline (frequency),1.0651338342145193,0.6433736173463721,0.22814822961206935,0.4569869911875787,19.0,7149.0
Elo,0.9825437480084669,0.585010213198131,0.19989603845629522,0.5307035949083788,19.0,7149.0
Poisson (independent),0.9891040624791609,0.5894290734090588,0.2020527222590119,0.5256679255839978,19.0,7149.0
Poisson (Dixon-Coles),0.9890427306770798,0.5893036024973677,0.2020318104403967,0.5253881661770877,19.0,7149.0
Logistic Regression,0.9847733547596015,0.5854919534382985,0.1999673119119675,0.5302839557980137,19.0,7149.0
XGBoost,0.9906775725842454,0.5898398722389847,0.20171803098275393,0.5221709329976221,19.0,7149.0
