model,season,n_train_seasons,n_matches,log_loss,brier_score,rps,accuracy
Poisson (Dixon-Coles),2019-20,26,380,0.9841624238652803,0.5862471039946909,0.20306249438232776,0.5157894736842106
Poisson (Dixon-Coles),2020-21,27,380,1.0384411544533243,0.6198424596110642,0.223821374717682,0.49473684210526314
Poisson (Dixon-Coles),2021-22,28,309,0.9730646822162814,0.576915801997233,0.200666934074656,0.5307443365695793
Logistic Regression,2003-04,10,380,1.0281674079287149,0.6182465815491867,0.20838010027521653,0.46842105263157896
Logistic Regression,2004-05,11,380,1.004589119437194,0.5988920850112719,0.19632708070054344,0.5131578947368421
Logistic Regression,2005-06,12,380,0.9797850774169928,0.5820612382085101,0.2059928059356474,0.55
Logistic Regression,2006-07,13,380,0.9968420238498855,0.593846319521184,0.2020983690135629,0.5184210526315789
Logistic Regression,2007-08,14,380,0.9493339752747649,0.5640027627574234,0.1855641196800949,0.5631578947368421
Logistic Regression,2008-09,15,380,0.9573626302778082,0.5708929412999906,0.19095849355251093,0.5447368421052632
Logistic Regression,2009-10,16,380,0.9428867326869798,0.5585846141556644,0.1862213589122743,0.5473684210526316
Logistic Regression,2010-11,17,380,1.0211418533395877,0.6138121066825911,0.20400411843769883,0.4868421052631579
Logistic Regression,2011-12,18,380,1.0107684762194646,0.5992299521954724,0.20658843085238704,0.5105263157894737
Logistic Regression,2012-13,19,380,0.9941878481795823,0.5922584956965815,0.19521148971122132,0.5210526315789473
Logistic Regression,2013-14,20,380,0.9518971129104165,0.5599956756783978,0.19759811676322048,0.5868421052631579
Logistic Regression,2014-15,21,380,0.9933854103440789,0.5902002419268322,0.2038514267212862,0.5210526315789473
Logistic Regression,2015-16,22,380,1.0388546613379996,0.6228357733201055,0.21060246630715138,0.4842105263157895
Logistic Regression,2016-17,23,380,0.9452311863071695,0.5578059820654809,0.1926261266056855,0.5789473684210527
Logistic Regression,2017-18,24,380,0.9631226930349367,0.5722027681977389,0.19094094775249448,0.5421052631578948
Logistic Regression,2018-19,25,380,0.9153393188965617,0.5359969839300341,0.19144468894088632,0.5947368421052631
Logistic Regression,2019-20,26,380,0.985018875810122,0.5845783023844355,0.20181527556604742,0.5368421052631579
Logistic Regression,2020-21,27,380,1.0462148703980558,0.6228351704440342,0.2261359618219391,0.46842105263157896
Logistic Regression,2021-22,28,309,0.986976016793755,0.5862017379317823,0.20371841226441964,0.540453074433657
XGBoost,2003-04,10,380,1.0416392257796911,0.6221602074377117,0.2093201831527575,0.48157894736842105
XGBoost,2004-05,11,380,1.0091243484758592,0.6074590798191087,0.19945839802964963,0.49473684210526314
XGBoost,2005-06,12,380,0.9776976194183118,0.5817092481982161,0.20540291271191133,0.531578947368421
